university name,program,country,gre score,toefl score,cgpa,deadline,required documents,tuition fee,chance of admit
university of toronto,Computer Science,Canada,328,107,8.62,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",28000,0.61
university of manchester,Data Analytics,UK,318,112,6.79,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.49
university of melbourne,AI & ML,Australia,304,98,8.26,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",36000,0.44
uc berkeley,Electrical Engineering,USA,332,95,7.86,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",44000,0.54
mcgill university,Engineering,Canada,297,92,9.89,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.36
university of manchester,Data Analytics,UK,310,96,8.43,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.39
university of melbourne,AI & ML,Australia,328,114,7.4,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",36000,0.51
university of manchester,Data Analytics,UK,308,117,6.46,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.43
harvard university,Business Analytics,USA,312,101,6.6,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",54000,0.44
harvard university,Business Analytics,USA,300,113,6.9,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",54000,0.3
heidelberg university,Data Science,Germany,300,96,7.0,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.3
university of waterloo,Software Engineering,Canada,313,95,9.4,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",22000,0.56
university of waterloo,Software Engineering,Canada,325,93,8.24,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",22000,0.46
university of cambridge,Data Science,UK,329,111,8.09,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",37000,0.53
university of sydney,Data Science,Australia,313,101,6.46,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",35000,0.38
mcgill university,Engineering,Canada,292,117,9.44,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.59
uc berkeley,Electrical Engineering,USA,311,110,8.89,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",44000,0.5
imperial college london,AI & Robotics,UK,291,117,6.27,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",36000,0.3
stanford university,Data Science,USA,313,92,8.83,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",57000,0.43
university of oxford,Computer Science,UK,333,115,8.17,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",38000,0.66
mcgill university,Engineering,Canada,319,96,6.33,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.33
imperial college london,AI & Robotics,UK,327,104,7.83,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",36000,0.57
university of melbourne,AI & ML,Australia,291,95,7.94,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",36000,0.3
university of sydney,Data Science,Australia,310,107,6.66,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",35000,0.53
mcgill university,Engineering,Canada,322,115,9.78,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.77
imperial college london,AI & Robotics,UK,301,107,9.4,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",36000,0.47
university of manchester,Data Analytics,UK,311,114,8.68,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.58
stanford university,Data Science,USA,333,93,7.85,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",57000,0.47
university of manchester,Data Analytics,UK,314,108,7.65,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.47
carnegie mellon university,AI & Machine Learning,USA,338,119,8.6,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",58000,0.66
carnegie mellon university,AI & Machine Learning,USA,316,118,8.18,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",58000,0.72
university of sydney,Data Science,Australia,331,111,6.25,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",35000,0.48
mcgill university,Engineering,Canada,317,115,8.05,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.58
imperial college london,AI & Robotics,UK,305,103,9.23,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",36000,0.55
eth zurich,Computer Science,Switzerland,304,109,7.84,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal",1500,0.4
university of manchester,Data Analytics,UK,336,94,6.21,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.49
