id,content
0,"university of toronto in Canada offers the program Computer Science.      Admission Requirements:     - GRE Score: 328     - TOEFL Score: 107     - Minimum CGPA: 8.62      Application Details:     - Deadline: Feb 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit      Financial Information:     - Tuition Fee: 28000      Admission Insight:     - Chance of Admission: 0.61"
1,"university of manchester in UK offers the program Data Analytics.      Admission Requirements:     - GRE Score: 318     - TOEFL Score: 112     - Minimum CGPA: 6.79      Application Details:     - Deadline: Jul 15, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.49"
2,"university of melbourne in Australia offers the program AI & ML.      Admission Requirements:     - GRE Score: 304     - TOEFL Score: 98     - Minimum CGPA: 8.26      Application Details:     - Deadline: Jun 30, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance      Financial Information:     - Tuition Fee: 36000      Admission Insight:     - Chance of Admission: 0.44"
3,"uc berkeley in USA offers the program Electrical Engineering.      Admission Requirements:     - GRE Score: 332     - TOEFL Score: 95     - Minimum CGPA: 7.86      Application Details:     - Deadline: Dec 15, 2024     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof      Financial Information:     - Tuition Fee: 44000      Admission Insight:     - Chance of Admission: 0.54"
4,"mcgill university in Canada offers the program Engineering.      Admission Requirements:     - GRE Score: 297     - TOEFL Score: 92     - Minimum CGPA: 9.89      Application Details:     - Deadline: Dec 15, 2024     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.36"
5,"university of manchester in UK offers the program Data Analytics.      Admission Requirements:     - GRE Score: 310     - TOEFL Score: 96     - Minimum CGPA: 8.43      Application Details:     - Deadline: Jun 30, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.39"
6,"university of melbourne in Australia offers the program AI & ML.      Admission Requirements:     - GRE Score: 328     - TOEFL Score: 114     - Minimum CGPA: 7.4      Application Details:     - Deadline: Dec 15, 2024     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance      Financial Information:     - Tuition Fee: 36000      Admission Insight:     - Chance of Admission: 0.51"
7,"university of manchester in UK offers the program Data Analytics.      Admission Requirements:     - GRE Score: 308     - TOEFL Score: 117     - Minimum CGPA: 6.46      Application Details:     - Deadline: Jan 15, 2026     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.43"
8,"harvard university in USA offers the program Business Analytics.      Admission Requirements:     - GRE Score: 312     - TOEFL Score: 101     - Minimum CGPA: 6.6      Application Details:     - Deadline: Jan 15, 2026     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof      Financial Information:     - Tuition Fee: 54000      Admission Insight:     - Chance of Admission: 0.44"
9,"harvard university in USA offers the program Business Analytics.      Admission Requirements:     - GRE Score: 300     - TOEFL Score: 113     - Minimum CGPA: 6.9      Application Details:     - Deadline: Dec 15, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof      Financial Information:     - Tuition Fee: 54000      Admission Insight:     - Chance of Admission: 0.3"
10,"heidelberg university in Germany offers the program Data Science.      Admission Requirements:     - GRE Score: 300     - TOEFL Score: 96     - Minimum CGPA: 7.0      Application Details:     - Deadline: Jan 31, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof      Financial Information:     - Tuition Fee: 500      Admission Insight:     - Chance of Admission: 0.3"
11,"university of waterloo in Canada offers the program Software Engineering.      Admission Requirements:     - GRE Score: 313     - TOEFL Score: 95     - Minimum CGPA: 9.4      Application Details:     - Deadline: Feb 01, 2026     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit      Financial Information:     - Tuition Fee: 22000      Admission Insight:     - Chance of Admission: 0.56"
